feature,importance_gain,importance_split
car_age,26355.77029801812,2390
max_power,18885.24901995808,2513
engine,5286.248380418401,1568
name_le,2317.864877879154,4390
trans_Automatic,2217.681822861545,176
mileage,1087.8092828174122,2392
km_driven,1017.674696479924,2877
fuel_Diesel,858.027849400416,181
owner_1,664.0822315700352,280
seats,616.4159630127251,422
fuel_Petrol,152.95093149598688,128
seller_Individual,57.24023794569075,96
owner_2,29.42853576503694,236
seller_Dealer,26.899122825823724,134
trans_Manual,23.176315650343895,26
owner_4+,16.412354934960604,106
owner_3,7.912152301520109,68
seller_Trustmark_Dealer,1.2964936010539532,13
fuel_LPG,0.47724033845588565,34
owner_0,0.0,0
fuel_CNG,0.0,0
